id,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
231,2069,運錩,16.29,107.0,,0.73,108/3
232,2101,南港,0.53,107.0,26.48,2.82,108/4
233,2102,泰豐,0.0,107.0,,0.63,108/3
234,2103,台橡,5.13,107.0,15.79,1.04,108/3
235,2104,國際中橡,11.5,107.0,12.42,0.77,108/3
236,2105,正新,2.91,107.0,34.72,1.58,108/3
237,2106,建大,3.57,107.0,23.73,1.29,108/3
238,2107,厚生,4.13,107.0,12.19,0.54,108/3
239,2108,南帝,6.75,107.0,8.82,1.61,108/3
240,2109,華豐,0.0,107.0,,1.41,108/3
241,2114,鑫永銓,7.05,107.0,14.23,2.45,108/3
242,2115,六暉-KY,4.18,107.0,12.45,1.36,108/3
243,2201,裕隆,3.6,107.0,,0.43,108/3
244,2204,中華,5.21,107.0,17.72,0.43,108/3
245,2206,三陽工業,4.93,107.0,10.1,1.16,108/3
246,2207,和泰車,2.37,107.0,24.7,5.24,108/3
247,2208,台船,0.0,107.0,,1.31,108/3
248,2227,裕日車,7.41,107.0,10.84,3.61,108/3
249,2228,劍麟,6.23,107.0,10.59,1.62,108/3
250,2231,為升,5.14,107.0,17.12,4.83,108/3
251,2233,宇隆,7.42,107.0,9.59,1.26,108/3
252,2236,百達-KY,5.73,107.0,7.33,0.67,108/3
253,2239,英利-KY,6.98,107.0,11.08,0.72,108/3
254,2243,宏旭-KY,0.0,107.0,,0.57,108/3
255,2301,光寶科,6.95,107.0,10.42,1.35,108/4
256,2302,麗正,0.0,107.0,49.17,0.6,108/3
257,2303,聯電,4.11,107.0,17.29,0.81,108/4
258,2305,全友,0.0,107.0,,0.47,108/3
259,2308,台達電,4.05,107.0,13.88,2.29,108/4
260,2312,金寶,2.63,107.0,20.73,0.97,108/3
261,2313,華通,2.3,107.0,14.72,1.69,108/3
262,2314,台揚,1.07,107.0,,1.59,108/3
263,2316,楠梓電,3.39,107.0,9.67,0.83,108/3
264,2317,鴻海,5.35,107.0,7.96,0.86,108/3
265,2321,東訊,0.0,107.0,,1.44,108/3
266,2323,中環,0.0,107.0,6.17,0.41,108/3
267,2324,仁寶,6.98,107.0,11.32,0.71,108/3
268,2327,國巨,12.98,107.0,21.26,3.19,108/4
269,2328,廣宇,6.21,107.0,7.53,0.85,108/3
270,2329,華泰,0.0,107.0,10.23,1.02,108/3
271,2330,台積電,2.72,107.0,22.07,4.7,108/4
272,2331,精英,0.0,107.0,196.4,0.5,108/3
273,2332,友訊,1.8,107.0,,0.84,108/3
274,2337,旺宏,3.92,107.0,18.69,1.73,108/4
275,2338,光罩,3.09,107.0,18.68,1.94,108/3
276,2340,光磊,2.63,107.0,11.45,1.01,108/3
277,2342,茂矽,1.03,107.0,,2.02,108/3
278,2344,華邦電,7.04,107.0,44.38,0.93,108/4
279,2345,智邦,2.44,107.0,19.52,7.7,108/3
280,2347,聯強,5.65,107.0,9.49,1.21,108/3
281,2348,海悅,7.45,107.0,9.81,2.97,108/3
282,2349,錸德,0.0,107.0,,0.66,108/3
283,2351,順德,5.69,107.0,13.99,1.6,108/3
284,2352,佳世達,4.97,107.0,8.47,0.99,108/3
285,2353,宏碁,5.37,107.0,15.27,0.74,108/3
286,2354,鴻準,5.8,107.0,8.61,0.78,108/3
287,2355,敬鵬,1.89,107.0,16.4,0.67,108/3
288,2356,英業達,6.93,107.0,13.97,1.43,108/3
289,2357,華碩,7.61,107.0,21.91,0.87,108/3
290,2358,廷鑫,0.0,107.0,38.55,0.9,108/3
291,2359,所羅門,6.3,107.0,7.65,0.66,108/3
292,2360,致茂,3.4,107.0,29.71,3.65,108/3
293,2362,藍天,3.34,107.0,14.38,0.44,108/3
294,2363,矽統,0.0,107.0,,0.54,108/3
295,2364,倫飛,0.0,107.0,,1.18,108/3
296,2365,昆盈,3.05,107.0,81.88,0.52,108/3
297,2367,燿華,1.74,107.0,8.56,1.3,108/3
298,2368,金像電,0.0,107.0,,1.57,108/3
299,2369,菱生,1.99,107.0,,0.72,108/3
300,2371,大同,0.0,107.0,,1.26,108/3
301,2373,震旦行,6.99,107.0,13.6,2.74,108/3
302,2374,佳能,3.91,107.0,,0.53,108/3
303,2375,凱美,9.48,107.0,26.82,0.85,108/3
304,2376,技嘉,6.31,107.0,17.88,1.28,108/3
305,2377,微星,6.09,107.0,14.01,2.33,108/3
306,2379,瑞昱,3.41,107.0,16.68,3.91,108/3
307,2380,虹光,0.0,107.0,,0.44,108/3
308,2382,廣達,6.04,107.0,14.55,1.73,108/3
309,2383,台光電,3.29,107.0,14.58,2.95,108/3
310,2385,群光,4.69,107.0,9.68,2.07,108/4
311,2387,精元,3.11,107.0,41.67,0.98,108/3
312,2388,威盛,0.0,107.0,237.0,3.24,108/3
313,2390,云辰,0.0,107.0,,0.79,108/3
314,2392,正崴,4.76,107.0,6.77,0.69,108/3
315,2393,億光,5.24,107.0,17.13,0.76,108/3
316,2395,研華,2.58,107.0,25.17,5.74,108/4
317,2397,友通,7.34,107.0,12.82,2.61,108/3
318,2399,映泰,0.0,107.0,,0.8,108/3
319,2401,凌陽,3.66,107.0,,0.7,108/3
320,2402,毅嘉,4.1,107.0,14.88,0.64,108/3
321,2404,漢唐,5.95,107.0,11.55,4.17,108/3
322,2405,浩鑫,0.0,107.0,,0.83,108/3
323,2406,國碩,0.0,107.0,,1.0,108/3
324,2408,南亞科,10.77,107.0,20.5,1.33,108/4
325,2409,友達,6.22,107.0,,0.43,108/4
326,2412,中華電,4.17,107.0,25.41,2.22,108/4
327,2413,環科,0.0,107.0,,0.92,108/3
328,2414,精技,6.59,107.0,12.64,1.37,108/3
329,2415,錩新,10.38,107.0,24.08,0.77,108/3
330,2417,圓剛,1.07,107.0,134.0,0.65,108/3
331,2419,仲琦,3.54,107.0,20.96,1.55,108/3
332,2420,新巨,8.79,107.0,9.98,1.57,108/4
333,2421,建準,5.63,107.0,13.1,2.11,108/4
334,2423,固緯,7.53,107.0,10.53,1.52,108/3
335,2424,隴華,0.0,107.0,,2.48,108/3
336,2425,承啟,6.04,107.0,18.54,1.49,108/3
337,2426,鼎元,11.11,107.0,90.0,0.91,108/3
338,2427,三商電,4.0,107.0,13.33,0.86,108/3
339,2428,興勤,4.99,107.0,9.21,1.58,108/3
340,2429,銘旺科,0.0,107.0,,2.53,108/3
341,2430,燦坤,6.12,107.0,14.85,0.53,108/3
342,2431,聯昌,0.0,107.0,,0.64,108/3
343,2433,互盛電,7.15,107.0,11.6,1.68,108/3
344,2434,統懋,0.0,107.0,,1.95,108/3
345,2436,偉詮電,4.65,107.0,11.56,1.27,108/4
346,2438,翔耀,0.0,107.0,,0.94,108/3
347,2439,美律,6.61,107.0,10.52,2.09,108/4
348,2440,太空梭,0.0,107.0,,0.99,108/3
349,2441,超豐,6.14,107.0,13.54,1.55,108/3
350,2442,新美齊,19.66,107.0,10.82,0.59,108/4
351,2443,億麗,0.0,107.0,,0.56,108/3
352,2444,兆勁,0.0,107.0,,1.73,108/3
353,2448,晶電,1.03,107.0,,0.69,108/4
354,2449,京元電子,4.34,107.0,15.47,1.51,108/3
355,2450,神腦,4.92,107.0,18.55,1.3,108/4
356,2451,創見,6.54,107.0,18.96,1.69,108/4
357,2453,凌群,3.61,107.0,12.59,0.79,108/3
358,2454,聯發科,2.68,107.0,25.93,1.71,108/3
359,2455,全新,2.94,107.0,33.73,5.81,108/3
360,2456,奇力新,8.77,107.0,19.59,0.96,108/4
361,2457,飛宏,0.0,107.0,,0.48,108/3
362,2458,義隆,6.21,107.0,12.0,3.49,108/3
363,2459,敦吉,7.76,107.0,9.81,0.95,108/3
364,2460,建通,0.0,107.0,,0.6,108/3
365,2461,光群雷,2.98,107.0,36.18,0.8,108/3
366,2462,良得電,2.02,107.0,17.77,1.37,108/3
367,2464,盟立,10.58,107.0,7.14,1.51,108/3
368,2465,麗臺,0.0,107.0,,1.4,108/3
369,2466,冠西電,0.0,107.0,184.17,3.0,108/3
370,2467,志聖,9.71,107.0,9.04,1.53,108/3
371,2468,華經,3.7,107.0,21.43,0.84,108/3
372,2471,資通,6.63,107.0,12.31,1.2,108/3
373,2472,立隆電,7.14,107.0,9.53,1.25,108/3
374,2474,可成,5.97,107.0,13.74,1.04,108/4
375,2476,鉅祥,6.35,107.0,10.23,0.8,108/3
376,2477,美隆電,4.59,107.0,11.65,1.18,108/3
377,2478,大毅,3.97,107.0,14.96,1.73,108/3
378,2480,敦陽科,5.87,107.0,13.88,2.22,108/4
379,2481,強茂,2.31,107.0,13.28,1.15,108/3
380,2482,連宇,0.0,107.0,21.49,0.99,108/3
381,2483,百容,6.67,107.0,13.53,0.89,108/4
382,2484,希華,7.95,107.0,14.96,0.99,108/3
383,2485,兆赫,3.28,107.0,33.89,0.72,108/3
384,2486,一詮,0.0,107.0,,0.43,108/3
385,2488,漢平,8.8,107.0,8.11,1.1,108/4
386,2489,瑞軒,0.0,107.0,24.85,0.55,108/3
387,2491,吉祥全,0.0,107.0,,1.37,108/3
388,2492,華新科,9.15,107.0,13.02,2.56,108/4
389,2493,揚博,9.49,107.0,10.33,1.3,108/3
390,2495,普安,3.46,107.0,10.6,0.75,108/3
391,2496,卓越,6.55,107.0,10.64,1.37,108/3
392,2497,怡利電,0.0,107.0,,1.36,108/3
