公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
8101,華冠,去年本月實際工作日較少，而本月客戶出貨量調整，故營收較去年本月增加，但較去年同期累計營收衰退。,-54.17,171112,102.04,38809,78413,-41.66,427722,249525
1471,首利,本月營收較去年同期減少，主要係因為受新型冠狀病毒疫情影響，致今年二月份工作天數少所致。,-79.77,49182,-76.03,41490,9945,-72.85,217846,59127
1582,信錦,-,-53.29,562207,-46.64,492191,262595,-35.42,1277322,824802
2059,川湖,-,10.1,347704,34.07,285556,382847,-0.62,735127,730551
2308,台達電,-,-21.03,19330593,0.7,15156604,15264060,1.93,33939292,34594653
2313,華通,-,-20.02,4045829,17.94,2743389,3235628,7.72,6759546,7281457
2316,楠梓電,-,-18.58,348110,-4.33,296251,283411,-15.48,747247,631521
2327,國巨,-,-18.72,3301746,-13.45,3100543,2683455,-24.0,7875504,5985201
2328,廣宇,-,-14.69,1624049,-5.03,1458865,1385378,-12.75,3449393,3009427
2355,敬鵬,-,-5.6,1392123,3.8,1265957,1314109,-13.76,3138264,2706232
2367,燿華,-,-26.36,1435268,-9.62,1169409,1056811,-19.72,3104548,2492079
2368,金像電,-,15.47,1445719,48.72,1122486,1669437,9.92,2833860,3115156
2375,凱美,-,-29.2,302568,-20.06,267966,214192,-25.88,697256,516760
2383,台光電,-,-9.58,1964414,26.89,1399657,1776101,15.34,3242878,3740516
2385,群光,-,-31.28,6228700,-13.61,4954893,4280190,-13.02,12083108,10508890
2392,正崴,-,-41.04,6162048,-20.89,4592281,3632766,-23.65,12830205,9794814
2402,毅嘉,-,-42.86,392480,-40.54,377157,224251,-32.77,917449,616731
2413,環科,-,-18.06,246452,-3.35,208938,201936,-29.57,636658,448388
2415,錩新,-,-22.69,180862,9.36,127834,139811,-5.99,341140,320673
2420,新巨,-,-13.35,195631,6.31,159444,169508,-14.27,425934,365138
2421,建準,-,-42.92,822116,-16.19,559876,469187,-18.82,1590670,1291303
2428,興勤,-,-47.21,439403,-38.8,379066,231959,-25.59,902285,671362
2429,銘旺科,-,2.51,53189,3.14,52862,54526,-14.32,125720,107715
2431,聯昌,-,-16.42,225786,-15.82,224174,188703,-13.65,480055,414489
2440,太空梭,-,-11.04,134953,-3.91,124951,120054,-26.14,345260,255007
2456,奇力新,-,-23.41,1256698,-3.53,997743,962463,-8.51,2425778,2219161
2457,飛宏,-,-34.96,573568,-39.28,614359,372992,-45.82,1747202,946560
2460,建通,-,-12.77,129554,-24.36,149408,113000,-44.52,437254,242554
2462,良得電,-,-54.21,270066,-40.7,208551,123663,-32.96,587349,393729
2467,志聖,-,-8.11,224620,-39.23,339661,206381,-39.69,714708,431001
2472,立隆電,-,-24.94,501824,-5.22,397388,376640,-11.56,993328,878464
2476,鉅祥,-,-20.38,356171,-9.79,314347,283564,-19.29,792705,639731
2478,大毅,-,-5.6,306091,-12.77,331238,288934,-10.62,665790,595025
2483,百容,-,-11.2,121425,-4.31,112682,107824,-21.09,290539,229249
2484,希華,-,-12.56,168875,-0.59,148533,147653,-11.1,356088,316528
2492,華新科,"2月合併營收19.1億,較1月減5.2%,與去年 2月比減 13.4% ,累計較去年同期減 28.7%,因人力短缺及營運日減少所致。",-5.17,2016556,-13.4,2208200,1912222,-28.71,5511275,3928778
2493,揚博,-,-9.69,210399,15.53,164457,190009,3.88,385421,400408
3003,健和興,-,-15.53,224367,-8.18,206402,189515,-17.53,501883,413882
3011,今皓,-,-20.84,83015,-25.49,88187,65707,-31.37,216713,148722
3015,全漢,-,-59.5,1112982,-41.98,776893,450704,-21.25,1985686,1563686
3021,鴻名,-,-39.04,211399,-12.56,147377,128855,-7.34,367213,340254
3023,信邦,-,-14.15,1554934,10.65,1206314,1334794,14.04,2533946,2889728
3026,禾伸堂,-,-23.77,1081035,4.88,785605,824015,0.88,1888246,1905050
3032,偉訓,-,-35.43,631831,0.2,407113,407951,-14.33,1213732,1039782
3037,欣興,-,-8.45,6806543,20.74,5160203,6230713,15.22,11314369,13037256
