證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
2360,致茂,1.99,108.0,29.71,4.43,109/2,2020-09-29
2362,藍天,1.39,108.0,42.35,0.46,109/2,2020-09-29
2363,矽統,14.87,108.0,,0.87,109/2,2020-09-29
2364,倫飛,0.0,108.0,,3.74,109/2,2020-09-29
2365,昆盈,4.33,108.0,12.95,0.74,109/2,2020-09-29
2367,燿華,3.87,108.0,36.23,1.24,109/2,2020-09-29
2368,金像電,0.0,108.0,15.69,2.97,109/2,2020-09-29
2369,菱生,0.0,108.0,,0.78,109/2,2020-09-29
2371,大同,0.0,108.0,9.02,1.12,109/2,2020-09-29
2373,震旦行,7.08,108.0,15.18,3.1,109/2,2020-09-29
2374,佳能,2.32,108.0,,0.63,109/2,2020-09-29
2375,凱美,1.21,108.0,12.97,1.02,109/2,2020-09-29
2376,技嘉,2.88,108.0,15.86,2.01,109/2,2020-09-29
2377,微星,3.18,108.0,17.48,3.64,109/2,2020-09-29
2379,瑞昱,3.0,108.0,25.94,7.45,109/2,2020-09-29
2380,虹光,0.0,108.0,,0.93,109/2,2020-09-29
2382,廣達,4.97,108.0,16.23,2.22,109/2,2020-09-29
2383,台光電,4.03,108.0,12.6,3.46,109/2,2020-09-29
2385,群光,7.02,108.0,11.05,2.42,109/2,2020-09-29
2387,精元,1.57,108.0,39.57,1.97,109/2,2020-09-29
2388,威盛,0.0,108.0,,5.3,109/2,2020-09-29
2390,云辰,0.0,108.0,20.32,1.46,109/2,2020-09-29
2392,正崴,6.16,108.0,9.23,0.94,109/2,2020-09-29
2393,億光,3.85,108.0,16.67,0.98,109/2,2020-09-29
2395,研華,3.09,108.0,26.81,6.57,109/2,2020-09-29
2397,友通,7.61,108.0,15.17,2.66,109/2,2020-09-29
2399,映泰,0.0,108.0,26.63,0.94,109/2,2020-09-29
2401,凌陽,2.24,108.0,,1.0,109/2,2020-09-29
2402,毅嘉,3.19,108.0,34.78,0.86,109/2,2020-09-29
2404,漢唐,6.75,108.0,11.43,4.73,109/2,2020-09-29
2405,浩鑫,0.0,108.0,128.14,0.92,109/2,2020-09-29
2406,國碩,0.0,108.0,,2.05,109/2,2020-09-29
2408,南亞科,2.64,108.0,20.25,1.15,109/2,2020-09-29
2409,友達,0.0,108.0,,0.63,109/2,2020-09-29
2412,中華電,3.9,108.0,25.71,2.34,109/2,2020-09-29
2413,環科,0.0,108.0,,1.39,109/2,2020-09-29
2414,精技,6.11,108.0,12.21,1.53,109/2,2020-09-29
2415,錩新,3.37,108.0,,0.87,109/2,2020-09-29
2417,圓剛,0.17,108.0,57.24,3.9,109/2,2020-09-29
2419,仲琦,3.96,108.0,29.71,1.37,109/2,2020-09-29
2420,新巨,6.41,108.0,10.72,1.61,109/2,2020-09-29
2421,建準,3.28,108.0,16.27,3.71,109/2,2020-09-29
2423,固緯,6.79,108.0,13.08,1.47,109/2,2020-09-29
2424,隴華,0.0,108.0,,2.59,109/2,2020-09-29
2425,承啟,1.21,108.0,24.46,1.56,109/2,2020-09-29
2426,鼎元,1.95,108.0,11.04,1.19,109/2,2020-09-29
2427,三商電,3.37,108.0,13.68,0.89,109/2,2020-09-29
2428,興勤,4.3,108.0,10.84,2.0,109/2,2020-09-29
2429,銘旺科,0.0,108.0,,2.72,109/2,2020-09-29
2430,燦坤,5.42,108.0,12.64,0.66,109/2,2020-09-29
2431,聯昌,0.0,108.0,18.52,0.82,109/2,2020-09-29
2433,互盛電,8.0,108.0,11.96,1.8,109/2,2020-09-29
2434,統懋,0.0,108.0,,18.71,109/2,2020-09-29
2436,偉詮電,5.03,108.0,26.89,1.91,109/2,2020-09-29
2438,翔耀,0.0,108.0,130.4,1.07,109/2,2020-09-29
2439,美律,5.26,108.0,17.91,2.87,109/2,2020-09-29
2440,太空梭,0.0,108.0,17.31,1.42,109/2,2020-09-29
2441,超豐,4.71,108.0,12.2,1.67,109/2,2020-09-29
2442,新美齊,0.0,108.0,,0.8,109/2,2020-09-29
2443,億麗,0.0,108.0,,0.94,109/2,2020-09-29
2444,兆勁,0.0,108.0,,1.66,109/2,2020-09-29
2448,晶電,0.0,108.0,,0.87,109/2,2020-09-29
2449,京元電子,5.92,108.0,9.21,1.44,109/2,2020-09-29
2450,神腦,5.07,108.0,17.13,1.31,109/2,2020-09-29
2451,創見,7.14,108.0,16.28,1.49,109/2,2020-09-29
2453,凌群,6.08,108.0,12.37,0.92,109/2,2020-09-29
2454,聯發科,1.72,108.0,36.92,3.0,109/2,2020-09-29
2455,全新,3.29,108.0,25.38,5.31,109/2,2020-09-29
2456,奇力新,3.47,108.0,18.2,1.04,109/2,2020-09-29
2457,飛宏,0.0,108.0,,0.73,109/2,2020-09-29
2458,義隆,4.5,108.0,15.95,6.29,109/2,2020-09-29
2459,敦吉,7.12,108.0,9.78,1.09,109/2,2020-09-29
2460,建通,0.0,108.0,,1.04,109/2,2020-09-29
2461,光群雷,0.0,108.0,,1.02,109/2,2020-09-29
2462,良得電,2.87,108.0,21.4,1.39,109/2,2020-09-29
2464,盟立,6.16,108.0,15.92,2.08,109/2,2020-09-29
2465,麗臺,0.0,108.0,63.18,2.39,109/2,2020-09-29
2466,冠西電,0.0,108.0,,2.88,109/2,2020-09-29
2467,志聖,9.06,108.0,13.94,1.92,109/2,2020-09-29
2468,華經,3.82,108.0,18.99,0.82,109/2,2020-09-29
2471,資通,7.06,108.0,18.27,1.39,109/2,2020-09-29
